date,moisture,moisture_ssd,moisture_ceq,moisture_eeq,moisture_jon,moisture_lak,moisture_nbg,moisture_uni,moisture_upn,moisture_war,moisture_wbg,moisture_weq,moisture_aby
2012-02-01,18246494.0,21.59480933187213,32.66299664911441,16.66994939572946,17.547145595737078,26.47105970217223,16.028929717176876,15.244356961456049,6.653272954263892,20.18007651660719,27.574119543114264,38.869854789688944,9.650515795042322
2012-02-16,16254404.0,19.37155209242714,28.91588593311906,14.183608992250162,15.121206582837834,23.841333564825355,14.373764045392154,13.784384011005,5.8014132086797705,18.186393425748008,25.098583589322025,36.37166522832164,8.455541926332435
2012-03-01,14547962.0,17.492040789791407,25.888486174747545,12.276699341534792,13.293249626344348,21.613704802131245,12.944879816133048,12.584439730430413,5.028750702453478,16.534044743343397,22.937367498810193,33.77378897602341,7.481434866524045
2012-03-16,13039464.0,15.798724235500988,23.722915099500785,10.448078121612832,11.5869490609871,19.03021113210984,11.81013981549462,11.582768147668052,4.462633067039605,15.04591511117211,20.69069895729676,31.71731204582692,6.766041385685052
2012-04-01,13112312.0,16.134418089170396,29.817220018692016,14.596154888358983,10.76120459271534,18.909622762876268,10.697948255498453,10.583093866564376,3.969847583560034,14.19798586329948,19.03816575087613,32.37949795504859,6.253844845828295
2012-04-16,18664098.0,23.73093783085982,51.52681278351456,31.762010893128117,15.099093885044024,29.520105651441323,9.49884185367255,10.141081750482792,3.614097602717856,17.006708070271753,22.103766008307012,50.31423773967206,5.628801971909589
2012-05-01,25564802.0,31.705849756363342,59.723261300690694,39.722729920875786,25.486548396529876,41.89372808415684,10.145136383949948,15.561704716806434,7.674251567748445,24.890064850398023,26.704124843161857,65.04416969969857,5.187547597316529
2012-05-16,41767800.0,51.1587167437512,74.82980008662153,48.744092781270325,50.03247148844917,61.10948813698256,33.811113416541644,32.70680008465384,24.540965809673423,45.18092574800989,53.274942672954616,83.78137780946307,12.745663194121477
2012-06-01,48417044.0,58.34553064497155,77.55129476395632,49.77370339258617,53.13571823114663,69.06249146135981,51.56453698087911,42.89988360096294,25.702309794755863,60.166421905023334,70.15718967680526,89.48516628519255,28.58979687936006
2012-06-16,60731996.0,69.76500671780869,85.20764662973853,54.07864662367223,62.151399584105015,83.0874470604308,75.6146694544642,65.96297055633448,37.18687178308237,81.69314438649465,82.5024931856531,93.142271084262,59.80850037205841
2012-07-01,72318464.0,80.64256923677026,91.54605188173882,66.63790510513765,80.0165870617669,92.23621294230156,85.79457017907875,80.81246527869634,51.61323869369197,89.55345868789459,89.14460476787954,95.3203319450177,78.32987047716492
2012-07-16,81560112.0,88.6774523097498,94.66756707469968,72.52935996097985,90.94186405432627,95.01182886288082,92.3743735435886,90.02499272506019,74.48669808549498,94.38175267636564,93.97495997923248,97.00225132265206,86.15335782717887
2012-08-01,87120424.0,91.5642402065494,96.53893409925004,73.08609500325169,94.20307372388471,97.42579352429529,95.89792351645544,94.73177296896908,80.18346807668237,97.30660170189404,96.76221174230952,98.03738446337223,92.55409380522742
2012-08-16,88646192.0,92.8274111360836,97.57833549887164,74.71150146325601,96.05097962764404,98.87669065075823,98.41462636064736,95.9581492553107,80.21435048597009,98.9848545155092,98.0378034006836,98.48220204370068,94.92419891172914
2012-09-01,88565928.0,93.48996662766004,98.1603296177255,76.61769049425537,97.5643093868798,99.43987658818708,99.42375586554728,96.6708751091241,79.02521169393464,99.54317869887456,98.59575779864146,98.55579527972684,96.02590456701702
2012-09-16,87918328.0,93.33219409204328,98.47387676947277,75.13463987643615,98.05246612730284,99.67274238353296,99.57144795224566,96.53907304039576,77.9668505817592,99.74254735108428,98.76125989702764,98.5724613210261,94.47604873965211
2012-10-01,85410016.0,92.62699754196308,98.23684150539106,72.39573623455452,97.93216525327357,99.40138439819664,98.45024260222812,96.80644691939366,75.95404677062979,99.66836398572605,98.4567234889456,98.5688592047828,94.13747558366664
