date,kyoga_height_variation
2015-11-01,-0.2
2015-11-16,-0.16
2015-12-01,0.060000000000000005
2015-12-16,0.19
2016-01-01,0.35500000000000004
2016-01-16,0.25
2016-02-01,-0.11
2016-02-16,-0.01
2016-03-01,-0.17
2016-03-16,-0.28500000000000003
2016-04-01,-0.185
2016-04-16,-0.16
2016-05-01,0.24000000000000002
2016-05-16,0.03
2016-06-01,-0.16999999999999998
2016-06-16,-0.1
2016-07-01,-0.2
2016-07-16,-0.07
2016-08-01,-0.14500000000000002
2016-08-16,0.0525
2016-09-01,0.075
2016-09-16,-0.185
2016-10-01,-0.38
2016-10-16,-0.25
2016-11-01,-0.395
2016-11-16,-0.08
2016-12-01,-0.024999999999999994
2016-12-16,-0.15
2017-01-01,-0.22
2017-01-16,-0.58
2017-02-01,-0.64
2017-02-16,-0.46
2017-03-01,-0.315
2017-03-16,-0.43
2017-04-01,-0.2
2017-04-16,-0.09
2017-05-01,-0.195
2017-05-16,-0.28
2017-06-01,-0.24
2017-06-16,-0.33999999999999997
2017-07-01,-0.22
2017-07-16,-0.32
2017-08-01,-0.1
2017-08-16,0.085
2017-09-01,0.29
2017-09-16,0.225
2017-10-01,0.0
2017-10-16,-0.11
2017-11-01,0.11
2017-11-16,0.36
2017-12-01,-0.02
2017-12-16,0.17
2018-01-01,-0.15500000000000003
2018-01-16,-0.12
2018-02-01,-0.33
2018-02-16,-0.36
2018-03-01,-0.165
2018-03-16,-0.16
2018-04-01,-0.06
2018-04-16,0.01
2018-05-01,-0.08
2018-05-16,0.22
2018-06-01,-0.010000000000000002
2018-06-16,0.13
2018-07-01,0.245
2018-07-16,0.35
2018-08-01,0.395
2018-08-16,0.42
2018-09-01,0.22
2018-09-16,0.22
2018-10-01,0.27
2018-10-16,0.40499999999999997
2018-11-01,0.62
2018-11-16,0.11500000000000002
2018-12-01,0.08
2018-12-16,0.020000000000000004
2019-01-01,-0.38
2019-01-16,-0.024999999999999994
2019-02-01,-0.495
2019-02-16,-0.39749999999999996
2019-03-01,-0.3
2019-03-16,-0.33499999999999996
2019-04-01,-0.355
2019-04-16,-0.375
2019-05-01,-0.48
2019-05-16,-0.38
2019-06-01,-0.35
2019-06-16,-0.39
2019-07-01,-0.20500000000000002
2019-07-16,-0.2225
2019-08-01,-0.24
2019-08-16,-0.26
2019-09-01,-0.22000000000000003
2019-09-16,-0.22
2019-10-01,-0.3
2019-10-16,0.195
2019-11-01,0.38
2019-11-16,0.39
2019-12-01,0.51
2019-12-16,0.425
2020-01-01,0.56
2020-01-16,0.445
2020-02-01,0.435
2020-02-16,0.425
2020-03-01,0.49
2020-03-16,0.655
2020-04-01,0.79
2020-04-16,0.96
2020-05-01,1.28
2020-05-16,1.6400000000000001
2020-06-01,1.98
2020-06-16,2.44
2020-07-01,2.305
2020-07-16,2.45
2020-08-01,2.48
2020-08-16,2.51
2020-09-01,2.165
2020-09-16,2.6
2020-10-01,2.3099999999999996
2020-10-16,2.68
2020-11-01,2.73
2020-11-16,2.83
2020-12-01,2.895
2020-12-16,2.7199999999999998
2021-01-01,2.615
2021-01-16,2.6025
2021-02-01,2.6799999999999997
2021-02-16,2.3449999999999998
2021-03-01,2.4850000000000003
2021-03-16,2.4524999999999997
2021-04-01,2.4
2021-04-16,2.4775
2021-05-01,2.65
2021-05-16,2.67
2021-06-01,2.795
2021-06-16,2.92
2021-07-01,2.8449999999999998
2021-07-16,2.8325
2021-08-01,2.1500000000000004
2021-08-16,2.4775
2021-09-01,2.5949999999999998
2021-09-16,2.5599999999999996
2021-10-01,2.445
2021-10-16,2.435
2021-11-01,2.2075
2021-11-16,1.9649999999999999
2021-12-01,1.6724999999999999
2021-12-16,1.565
2022-01-01,1.6025
2022-01-16,1.335
2022-02-01,1.125
2022-02-16,1.3900000000000001
2022-03-01,1.1925
2022-03-16,0.75
2022-04-01,0.96
2022-04-16,1.045
2022-05-01,1.11
2022-05-16,0.87
2022-06-01,1.22
2022-06-16,1.2
2022-07-01,1.18
2022-07-16,1.08
2022-08-01,1.12
2022-08-16,0.78
2022-09-01,1.2
2022-09-16,0.8999999999999999
2022-10-01,1.18
2022-10-16,1.275
2022-11-01,0.875
2022-11-16,0.81
2022-12-01,0.67
2022-12-16,0.7
2023-01-01,0.4
2023-01-16,0.74
2023-02-01,0.7749999999999999
2023-02-16,0.5
2023-03-01,0.7250000000000001
2023-03-16,0.29
2023-04-01,0.485
2023-04-16,0.64
2023-05-01,0.9
2023-05-16,1.07
2023-06-01,1.125
2023-06-16,1.18
2023-07-01,1.21
2023-07-16,0.945
2023-08-01,0.76
2023-08-16,1.255
2023-09-01,1.2
2023-09-16,1.305
2023-10-01,1.23
2023-10-16,1.53
2023-11-01,1.48
2023-11-16,1.3399999999999999
2023-12-01,1.88
2023-12-16,1.63
2024-01-01,1.7
2024-01-16,1.86
2024-02-01,1.8
2024-02-16,1.28
2024-03-01,1.91
2024-03-16,1.93
2024-04-01,1.73
2024-04-16,2.16
2024-05-01,2.285
2024-05-16,2.56
2024-06-01,2.4699999999999998
2024-06-16,2.44
2024-07-01,2.41
2024-07-16,2.85
2024-08-01,2.7125000000000004
2024-08-16,2.575
2024-09-01,2.88
2024-09-16,2.89
2024-10-01,2.87
2024-10-16,2.55
2024-11-01,2.3949999999999996
2024-11-16,2.2399999999999998
2024-12-01,2.45
2024-12-16,2.66
2025-01-01,3.14
2025-01-16,2.74
2025-02-01,2.02
2025-02-16,2.03
2025-03-01,2.41
2025-03-16,2.23
2025-04-01,2.48
2025-04-16,2.74
2025-05-01,2.5999999999999996
2025-05-16,2.6
2025-06-01,2.23
2025-06-16,2.25
2025-07-01,2.19
2025-07-16,2.39
2025-08-01,2.605
2025-08-16,2.33
2025-09-01,2.745
2025-09-16,2.6
2025-10-01,2.605
2025-10-16,2.585
2025-11-01,2.07
2025-11-16,2.185
2025-12-01,2.53
2025-12-16,2.3899999999999997
2026-01-01,2.4
2026-01-16,2.3
2026-02-01,1.83
2026-02-16,2.005
2026-03-01,2.12
2026-03-16,2.36
2026-04-01,2.16
2026-04-16,2.2249999999999996
2026-05-01,2.29
2026-05-16,1.885
2026-06-01,1.9
2026-06-16,1.915
2026-07-01,1.62
2026-07-16,1.95
2026-08-01,2.2
2026-08-16,2.18
2026-09-01,2.2193333333333336
