date,kyoga_height_variation
2012-02-01,0.41000000000000003
2012-02-16,0.48
2012-03-01,0.155
2012-03-16,0.14
2012-04-01,0.049999999999999996
2012-04-16,0.13
2012-05-01,0.034999999999999996
2012-05-16,-0.03
2012-06-01,-0.01
2012-06-16,-0.09
2012-07-01,-0.08499999999999999
2012-07-16,-0.07
2012-08-01,-0.26
2012-08-16,-0.175
2012-09-01,0.0
2012-09-16,0.155
2012-10-01,-0.04
2012-10-16,0.095
2012-11-01,0.02
2012-11-16,-0.065
2012-12-01,-0.12
2012-12-16,-0.15
2013-01-01,-0.3
2013-01-16,-0.21000000000000002
2013-02-01,-0.04
2013-02-16,-0.26
2013-03-01,-0.28
2013-03-16,-0.41
2013-04-01,-0.475
2013-04-16,-0.38
2013-05-01,-0.28500000000000003
2013-05-16,-0.14
2013-06-01,-0.15
2013-06-16,-0.21
2013-07-01,-0.255
2013-07-16,-0.23
2013-08-01,-0.25
2013-08-16,-0.26
2013-09-01,-0.29
2013-09-16,0.04
2013-10-01,-0.08
2013-10-16,-0.020000000000000004
2013-11-01,-0.38
2013-11-16,-0.44000000000000006
2013-12-01,-0.38
2013-12-16,-0.37
2014-01-01,-0.58
2014-01-16,-0.375
2014-02-01,-0.34
2014-02-16,-0.5
2014-03-01,-0.67
2014-03-16,-0.645
2014-04-01,-0.78
2014-04-16,-0.76
2014-05-01,-0.71
2014-05-16,-0.405
2014-06-01,-0.24
2014-06-16,-0.355
2014-07-01,-0.72
2014-07-16,-0.605
2014-08-01,-0.595
2014-08-16,-0.38
2014-09-01,-0.38
2014-09-16,-0.37
2014-10-01,-0.41500000000000004
2014-10-16,-0.46
2014-11-01,-0.275
2014-11-16,-0.3
2014-12-01,-0.33999999999999997
2014-12-16,-0.275
2015-01-01,-0.28
2015-01-16,-0.185
2015-02-01,-0.4
2015-02-16,-0.61
2015-03-01,-0.625
2015-03-16,-0.735
2015-04-01,-0.66
2015-04-16,-0.485
2015-05-01,-0.39
2015-05-16,-0.0049999999999999975
2015-06-01,-0.22
2015-06-16,-0.175
2015-07-01,-0.36
2015-07-16,-0.24
2015-08-01,-0.27
2015-08-16,-0.235
2015-09-01,-0.07500000000000001
2015-09-16,-0.03
2015-10-01,-0.33499999999999996
2015-10-16,-0.09
