State,County,Payam,HF_Boma_ID,Health Facility,Latitude,Longitude
Central Equatoria State,Juba County,Munuki Payam,v23VAVHSoHJ,Munuki PHCC,4.863480,31.579330
Central Equatoria State,Juba County,Munuki Payam,pUykfjdr0Ac,Nyakuron PHCC,4.846020,31.579080
Central Equatoria State,Juba County,Northern Bari Payam,mvKR8SXA6mN,Gurei PHCC,4.866670,31.518510
Central Equatoria State,Juba County,Rejaf Payam,IUVO2rS8Fx3,Gumbo PHCC,4.814900,31.622670
Central Equatoria State,Juba County,Rejaf Payam,g6TAjDzItzr,Khor Romula/Jenduru PHCU,4.793725,31.591965
Central Equatoria State,Juba County,Rejaf Payam,OztCKjhtpbS,Rajaf East PHCC,4.698510,31.293960
Central Equatoria State,Juba County,Rokon Payam,XqHcke830dw,Rokon PHCC,5.130370,30.941640
Central Equatoria State,Juba County,Wonduruba Payam,Kodq1BjHROl,Wonduruba PHCC,4.545720,33.003300
Central Equatoria State,Kajo-Keji County,Kangapo One Payam,Ed2klEVwkL9,Litoba PHCU,3.738447,31.683778
Central Equatoria State,Kajo-Keji County,Lire Payam,U8O9tmIaK8S,Mere PHCU,3.889520,31.672490
Central Equatoria State,Kajo-Keji County,Nyepo Payam,VAgxQpwNqVN,Kansuk PHCC,4.010940,31.535140
Central Equatoria State,Lainya County,Kenyi Payam,wwREoqUiHsj,Kenyi PHCU,4.206510,30.912980
Central Equatoria State,Lainya County,Kenyi Payam,lmTCXjmTgcX,Limbe PHCC,4.161060,30.860920
Central Equatoria State,Lainya County,Kupera Payam,MlWcdwDncIF,Jamara PHCC,4.047340,30.982370
Central Equatoria State,Lainya County,Lainya Payam,hNigjIwEfra,Lainya Hospital,4.340590,31.074420
Central Equatoria State,Lainya County,Lainya Payam,ImAhxEgkhRn,Logwili PHCU,4.370080,31.121160
Central Equatoria State,Lainya County,Wuji Payam,CL7iYl3LpsI,Wuji PHCC,3.840540,31.076760
Central Equatoria State,Morobo County,Gulumbi Payam,uzjysTMLSxl,Morobo PHCC,3.687840,30.775210
Central Equatoria State,Morobo County,Gulumbi Payam,VJ5sKaOM7Ds,Rodoba PHCU,3.600100,30.807230
Central Equatoria State,Morobo County,Kimba Payam,DXQKspr43kS,Kaya PHCC,3.541580,30.881630
Central Equatoria State,Terekeka County,Gameiza Payam,gE4lVt1HOmR,Gemeiza PHCU,5.680000,31.797800
Central Equatoria State,Terekeka County,Gameiza Payam,zFo1Uwwb6ts,Wanyang PHCU,5.382510,31.680270
Central Equatoria State,Terekeka County,Muni Payam,NSjrBgTIWMt,Muni PHCC,5.643970,31.720240
Central Equatoria State,Terekeka County,Nyori Payam,uO6YvF0bmBn,Kuda PHCU,5.142900,31.712500
Central Equatoria State,Terekeka County,Nyori Payam,yP9KpB9dTyN,Moridi PHCU,5.490090,31.617600
Central Equatoria State,Terekeka County,Reggo Payam,CG6wvlZeZbf,Kwornyang PHCU,5.543220,31.543020
Central Equatoria State,Terekeka County,Reggo Payam,EqKuYf8K5fC,Lengi PHCU,5.284600,31.421600
Central Equatoria State,Terekeka County,Reggo Payam,JUv4PT55G6X,Lojora PHCU,5.382180,31.680120
Central Equatoria State,Terekeka County,Rijong Payam,L1LIaYQH6at,Jonkok PHCU,5.291630,31.024930
Central Equatoria State,Terekeka County,Rijong Payam,XQUOo7Oe3Xr,Kowori PHCU,5.394070,31.109200
Central Equatoria State,Terekeka County,Rijong Payam,G0vtSs4R8uu,Rijong PHCC,5.393850,31.169220
Central Equatoria State,Terekeka County,Tali Payam,s7H0rE02EMi,Atiit PHCU,5.895660,30.771650
Central Equatoria State,Terekeka County,Tali Payam,AY7y5WxMBIj,Kirot nyumbo PHCU,5.609374,31.033016
Central Equatoria State,Terekeka County,Tali Payam,LxzBbFan1PY,Kiu/Kiyu PHCU,6.204790,30.600620
Central Equatoria State,Terekeka County,Tali Payam,Yhbq9nRwiex,Makido PHCU,5.962830,30.741170
Central Equatoria State,Terekeka County,Tali Payam,tONQ4mMpO42,Tali PHCC,5.897540,30.771690
Central Equatoria State,Terekeka County,Terekeka Payam,OtBqwUzgXPz,Terekeka County Hospital,5.438372,31.745791
Central Equatoria State,Terekeka County,Tindilo Payam,aHQSAzPxglo,Mundari Bura PHCC,5.672650,30.974580
Central Equatoria State,Terekeka County,Tindilo Payam,Yma0DAfZosc,Peri PHCU,5.603760,31.827940
Central Equatoria State,Terekeka County,Tombek Payam,Pa9PESwxaIS,Tombek PHCC,5.811260,31.684990
Central Equatoria State,Yei County,Lasu Payam,DBH1VdXTzdU,Pisak PHCU,4.150920,30.526110
Central Equatoria State,Yei County,Mugwo Payam,PbuzPPMcsje,Mugwo PHCC,3.889823,30.740110
Central Equatoria State,Yei County,Otogo Payam,vhwg3JbYcgj,Goja PHCU,4.006400,30.636310
Central Equatoria State,Yei County,Yei Town Payam,P9vWsjAlZD9,Martha PHCC,4.097428,30.667819
Central Equatoria State,Yei County,Yei Town Payam,beAmuTA2MrM,Minyori PHCU,4.125280,30.620050
Central Equatoria State,Yei County,Yei Town Payam,FiCv14AWWKo,St Bakhita PHCC,4.103195,30.632383
Central Equatoria State,Yei County,Yei Town Payam,gUA5oNiYY1P,Yei Civil Hospital,4.091330,30.675600
Eastern Equatoria State,Budi County,Kimotong Payam,Fl0ZidYFLEg,Kimotong PHCC,4.684900,33.263970
Eastern Equatoria State,Budi County,Komori Payam,i3zup3tchmp,Chukudum  Hospital,4.227970,33.486060
Eastern Equatoria State,Budi County,Komori Payam,crPcGgFFnVk,Komiri PHCC,4.227561,33.492839
Eastern Equatoria State,Budi County,Loriyok Payam,bR5RhAYLIH5,FRAK-SIKA PHCU,4.382660,33.348680
Eastern Equatoria State,Budi County,Loriyok Payam,GuzpyLAP434,Loriyok PHCU,4.519210,33.323090
Eastern Equatoria State,Budi County,Lotukei Payam,rzbxRwvKymW,Kikilai PHCC,4.133180,33.602200
Eastern Equatoria State,Budi County,Lotukei Payam,nJdHDRZr8to,Lorema PHCC,4.160630,33.660690
Eastern Equatoria State,Budi County,Lotukei Payam,KNI7sz29X43,Piobokoi PHCU,4.084980,33.758890
Eastern Equatoria State,Budi County,Loudo Payam,BiM4c5SpOi6,Kapeta PHCU,4.309200,33.642480
Eastern Equatoria State,Budi County,Loudo Payam,E4cZHPJq3OM,Ngatuba PHCU,4.256730,33.699160
Eastern Equatoria State,Budi County,Nagishot Payam,w6jEkgBiMw6,Nagishot PHCC,4.267340,33.566330
Eastern Equatoria State,Budi County,Napak Payam,EYpNycp96cd,Chawa PHCU,4.733380,33.244010
Eastern Equatoria State,Budi County,Ngauro Payam,ku6p2NtYBVz,Kibongorok PHCU,4.402110,33.521780
Eastern Equatoria State,Budi County,Ngauro Payam,vknLbpsFuKA,Ngauro PHCC,4.228420,33.484900
Eastern Equatoria State,Budi County,Ngauro Payam,DnAzm6we1iK,Tulugi PHCU,4.350170,33.625210
Eastern Equatoria State,Ikotos County,Hatire Payam,BaOTshCMzLO,Hatire PHCC,4.033623,32.823727
Eastern Equatoria State,Ikotos County,Hatire Payam,b7PJjOtc5TZ,Imila PHCU,4.167424,32.865797
Eastern Equatoria State,Ikotos County,Ikotos Payam,oB2R4HNEPXE,Ikwoto PHCC,4.079700,33.098580
Eastern Equatoria State,Ikotos County,Ikotos Payam,Sp21H8FAGzu,Tseretenya PHCU,3.831680,33.220040
Eastern Equatoria State,Ikotos County,Imotong Payam,IM399bqfx1t,Imotong PHCC,4.171020,32.841800
Eastern Equatoria State,Ikotos County,Imotong Payam,weACGEMugGT,Ngaluma PHCU,3.979880,33.066970
Eastern Equatoria State,Ikotos County,Lomohidang North Payam,Mb8oG5JCCCf,Chahare PHCU,4.289590,33.144470
Eastern Equatoria State,Ikotos County,Lomohidang North Payam,u5ZuL45eQdM,St Theresa Isohe Mission Hospital,4.240250,33.075530
Eastern Equatoria State,Ikotos County,Lomohidang South Payam,nR7pxRpvLAh,Lodurumo PHCU,4.237011,33.172844
Eastern Equatoria State,Ikotos County,Lomohidang South Payam,pcCmjhp7LB1,Lodwara PHCU,4.194230,33.206130
Eastern Equatoria State,Ikotos County,Lomohidang South Payam,mK81VJYa4fu,Okorohore PHCU,4.157180,33.169640
Eastern Equatoria State,Ikotos County,Losite Payam,ppp5asdsqtC,Biira PHCC,3.833130,33.582090
Eastern Equatoria State,Ikotos County,Losite Payam,Dt17DuPliyN,Lofus PHCU,3.804080,33.434350
Eastern Equatoria State,Kapoeta East County,Katodori Payam,J3IEGCOyxVH,Lowoyakali PHCU,4.678190,33.815870
Eastern Equatoria State,Kapoeta East County,Katodori Payam,tVTsvzm6dSB,NAPOTPOT (Loburi) PHCU,4.626650,33.899110
Eastern Equatoria State,Kapoeta East County,Kauto Payam,eTgFrzpPEyx,Kuron PHCC,5.704880,34.565040
Eastern Equatoria State,Kapoeta East County,Kauto Payam,oRs4ZgmqXJp,NAMORUPUS PHCU,5.470830,34.647010
Eastern Equatoria State,Kapoeta East County,Lotimor Payam,i9FEURIsw87,LOTIMOR PHCU,5.310038,35.074905
Eastern Equatoria State,Kapoeta East County,Mogos Payam,lfHgzyumCAG,Mogos PHCC,5.124770,33.790600
Eastern Equatoria State,Kapoeta East County,Mogos Payam,fiMuSPDeCKP,Nasigigriate PHCU,4.975250,33.699080
Eastern Equatoria State,Kapoeta East County,Narus Payam,bNyekr4BEHr,Loolim PHCU,4.587880,34.044960
Eastern Equatoria State,Kapoeta East County,Narus Payam,L01ySzJuCvR,Nadapal PHCU,4.448731,34.184503
Eastern Equatoria State,Kapoeta East County,Narus Payam,QjUEAAeYFew,Narus CDoT PHCC,4.504780,34.170140
Eastern Equatoria State,Kapoeta East County,Narus Payam,VQOmGKq1wh1,Narus PHCC,4.503380,34.161790
Eastern Equatoria State,Kapoeta East County,Natinga Payam,izweOJT2h5i,New Site Wodran PHCC,4.250420,34.001540
Eastern Equatoria State,Kapoeta North County,Chumakori Payam,toW9AZ8yj70,Chumakori PHCU,4.913330,33.558490
Eastern Equatoria State,Kapoeta North County,Karukomuge Payam,MzztF94mDIt,Kibak PHCU,4.995578,33.579274
Eastern Equatoria State,Kapoeta North County,Karukomuge Payam,UQUciONr4OR,Lokoges PHCU,5.049000,33.304900
Eastern Equatoria State,Kapoeta North County,Karukomuge Payam,fUIGMnSDxZz,Naakwa PHCC,5.067150,33.553460
Eastern Equatoria State,Kapoeta North County,Lomeyen Payam,Bs37IJ3170C,Lomeyen PHCU,4.907650,33.451010
Eastern Equatoria State,Kapoeta North County,Mosingo Payam,KOxnStgd7mw,Mossingo PHCU,5.267482,33.771244
Eastern Equatoria State,Kapoeta North County,Najie Payam,IV4ktvku6CW,Nangoletirae PHCU,4.895880,33.495770
Eastern Equatoria State,Kapoeta North County,Najie Payam,Cx4FItlS5fY,Riwoto PHCC,4.882170,33.505840
Eastern Equatoria State,Kapoeta North County,Paringa Payam,aEdwAOEOUWW,Choroi PHCU,4.887190,33.600920
Eastern Equatoria State,Kapoeta North County,Paringa Payam,fE97HbakOEi,PARINGA PHCU,4.847840,33.563270
Eastern Equatoria State,Kapoeta South County,Kapoeta Town Payam,oV5sT7FVaVx,Kapoeta Civil Hospital,4.772390,33.591560
Eastern Equatoria State,Kapoeta South County,Longeleya Payam,E5DmJjUiPW2,Longeleya PHCU,4.701444,33.633778
Eastern Equatoria State,Kapoeta South County,Machi I Payam,kY6W0bzF36o,Nachilagur PHCU,4.753600,33.605800
Eastern Equatoria State,Kapoeta South County,Machi II Payam,VmQciys5ZVG,Nakware PHCU,4.774000,33.500417
Eastern Equatoria State,Kapoeta South County,Pwata Payam,WtCTR1fJFVn,Nak Nak PHCU,4.753361,33.662867
Eastern Equatoria State,Kapoeta South County,Pwata Payam,ntGMMLG0CMq,Napetait PHCC,4.625861,33.656833
Eastern Equatoria State,Lafon County,Arihilo Payam,Ah7N6pGZmZW,Imedu PHCU,4.913181,32.677192
Eastern Equatoria State,Lafon County,Arihilo Payam,WPYc8f7zTyq,Lacharok PHCU,4.866970,32.701850
Eastern Equatoria State,Lafon County,Arihilo Payam,sRnlrEG3rIq,Logonowati PHCU,4.841370,32.690880
Eastern Equatoria State,Lafon County,Burgilo Payam,sx9Lt0bSKqr,Lafon PHCC,5.030390,32.476115
Eastern Equatoria State,Lafon County,Imehejek Payam,ccoacZ7JsEb,Imehejek Hospital,4.781750,32.761490
Eastern Equatoria State,Lafon County,Lohutok Payam,SrKWFQxqCh8,AIC Lohutok PHCC,4.642398,32.856220
Eastern Equatoria State,Lafon County,Lohutok Payam,nKg4bhRJsDQ,Ibonni PHCU,4.661957,32.796646
Eastern Equatoria State,Lafon County,Lohutok Payam,yItOo3Uqz5h,Lalanga PHCU,4.590910,32.903350
Eastern Equatoria State,Lafon County,Longiro Payam,nqCNcInxecf,Bule PHCU,4.901303,32.618125
Eastern Equatoria State,Lafon County,Longiro Payam,UwK3acKsTh2,Haba PHCU,4.837810,32.622030
Eastern Equatoria State,Lafon County,Longiro Payam,bqzb4FGeoVN,Idali PHCU,4.703950,32.683260
Eastern Equatoria State,Lafon County,Longiro Payam,Ckqhne6EQbK,Longiro PHCU,4.788930,32.627800
Eastern Equatoria State,Lafon County,Marguna Payam,dJPEMzp2QT3,Ukwanya PHCU,5.094514,32.480869
Eastern Equatoria State,Lafon County,Pacidi Payam,b5UM6UTrYDc,Pachidi/Lwala PHCU,4.805680,32.476570
Eastern Equatoria State,Lafon County,Pacidi Payam,d1RWBUx3SbD,Upuo PHCU,4.786060,32.432230
Eastern Equatoria State,Magwi County,Lobone Payam,x7BCshAZvzd,Kicenga PHCC,3.877638,32.626849
Eastern Equatoria State,Magwi County,Lobone Payam,Eah2o9L9xLF,Lobone PHCC,3.797890,32.761340
Eastern Equatoria State,Magwi County,Lobone Payam,N2O4a2MhUZA,Palwar PHCU,3.917500,32.598030
Eastern Equatoria State,Magwi County,Magwi Payam,ItenF1aBAZP,Abara PHCC,4.082614,32.178892
Eastern Equatoria State,Magwi County,Magwi Payam,H5ymexi3gjf,Magwi PHCC,4.135660,32.300880
Eastern Equatoria State,Magwi County,Magwi Payam,cWRCswspNvk,Obbo PHCC,4.044570,32.424190
Eastern Equatoria State,Magwi County,Magwi Payam,XjmFWVLMWVk,Omeo PHCU,4.209870,32.247690
Eastern Equatoria State,Magwi County,Magwi Payam,in75g93kOun,OWINYKIBUL PHCU,3.841110,32.265690
Eastern Equatoria State,Magwi County,Magwi Payam,ftFknBejxCt,Palotaka PHCU,4.022950,32.471980
Eastern Equatoria State,Magwi County,Mugali Payam,KOz5zP6qkMf,Mugali PHCC,3.566460,32.197210
Eastern Equatoria State,Magwi County,Nimule Payam,kXHxoSUMNSY,Nimule CDOT PHCC,3.585030,32.086160
Eastern Equatoria State,Magwi County,Nimule Payam,dTANcKLxstU,Nimule Hospital,3.600290,32.056740
Eastern Equatoria State,Magwi County,Pageri Payam,zmEkkIh73Mg,Opari PHCC,3.923380,32.067510
Eastern Equatoria State,Magwi County,Pajok Payam,lSg8THL26vT,Pajok PHCC,3.859947,32.483670
Eastern Equatoria State,Magwi County,Pajok Payam,qHccRhwWAhP,Pogee PHCU,3.766720,32.518800
Eastern Equatoria State,Torit County,Bur Payam,ELVBQ0n5AA1,Bur Mutaram PHCU,4.525910,32.494060
Eastern Equatoria State,Torit County,Bur Payam,lhCCODDA7LQ,Oronyo PHCC,4.571740,32.727840
Eastern Equatoria State,Torit County,Himodonge Payam,XAgzWsaetiB,Hilieu PHCC,4.322010,32.646140
Eastern Equatoria State,Torit County,Hiyala Payam,sp3Sl7MVAFd,Hiyala PHCC,4.464230,32.864890
Eastern Equatoria State,Torit County,Hiyala Payam,Jgsi6GI3NKG,Mura Hatiha PHCU,4.510260,32.784440
Eastern Equatoria State,Torit County,Hiyala Payam,Je8eezh1lbq,Oguruny PHCU,4.395870,32.903190
Eastern Equatoria State,Torit County,Imurok Payam,vLqRoVWutHH,Imurok PHCU,4.315230,32.432450
Eastern Equatoria State,Torit County,Kudo Payam,BQLNrxHvmTI,Kudo PHCC,4.548530,32.227760
Eastern Equatoria State,Torit County,Kudo Payam,v1fwJBDZGFZ,Lowoi PHCC,4.489930,32.167640
Eastern Equatoria State,Torit County,Nyong Payam,mnWwp7zFWy4,Nyong PHCC,4.412822,32.570753
Eastern Equatoria State,Torit County,Nyong Payam,SC2ch4Wxfq3,Torit State Hospital,4.406290,32.576040
Jonglei State,Akobo County,Barmach Payam,MeNDM6EMzR1,Yidit PHCU,8.217600,32.266430
Jonglei State,Akobo County,Bilkey Payam,Wx8ppq2BBa0,Akobo Hospital,7.799040,33.010150
Jonglei State,Akobo County,Dengjok Payam,Dt97oqHZioJ,Nukta Thoklial PHCC,7.877760,32.998340
Jonglei State,Akobo County,Dengjok Payam,PMWkm3Lp0tG,Thokwath PHCU,7.941850,32.996630
Jonglei State,Akobo County,Diror Payam,usv3OSUl8K1,Diror PHCU,8.116230,32.332270
Jonglei State,Akobo County,Diror Payam,CKrlfIRf7S0,Tangnyang PHCU,8.107970,32.290560
Jonglei State,Akobo County,Nyandit Payam,BFUopdmj3O3,Burmath PHCU,7.639630,33.160490
Jonglei State,Akobo County,Walgak Payam,OmcZNdg3rzT,Kaikuiny PHCC,8.092680,32.385700
Jonglei State,Akobo County,Walgak Payam,CCzq532FzNy,Walgak PHCC,8.160750,32.238650
Jonglei State,Ayod County,Ayod Payam,m5y6WD8Tfbo,Ayod PHCC,8.121990,31.413760
Jonglei State,Ayod County,Kuach-deng Payam,o8rfCX76JY8,Kuachdeng PHCU,8.422222,31.463889
Jonglei State,Ayod County,Kurwai Payam,xBDvxV51rtO,Haat PHCU,8.516480,30.633360
Jonglei State,Ayod County,Mogok Payam,HG7ikzCRcQD,Mogok PHCC,8.402980,31.334910
Jonglei State,Ayod County,Mogok Payam,IipPtVuuu2V,Panyang PHCU,8.432260,31.346670
Jonglei State,Ayod County,Pagil Payam,uZtTPKVVk3I,Manime PHCC,8.611220,30.718970
Jonglei State,Ayod County,Pagil Payam,RbNefjY7CO8,Normanyang PHCU,8.767561,31.054431
Jonglei State,Ayod County,Pagil Payam,mSAZP91HScC,Pagil PHCC,8.708050,31.266110
Jonglei State,Ayod County,Pajiek Payam,oRGmGEPOblN,Canal PHCC,8.138400,31.191900
Jonglei State,Ayod County,Pajiek Payam,qddFWAT2qvQ,Keer PHCU,7.714880,30.640070
Jonglei State,Ayod County,Pajiek Payam,CJF2Ms1fYWD,Tuok PHCU,8.489970,30.681000
Jonglei State,Ayod County,Wau Payam,SF1iZzZ7qSY,Paguong PHCC,8.164300,31.139080
Jonglei State,Ayod County,Wau Payam,F1vLCeN1PtI,Wau PHCC,8.275000,31.422222
Jonglei State,Ayod County,Wau Payam,MseHO6OMtAk,Wunkuel PHCU,8.264430,31.362640
Jonglei State,Bor South County,Anyidi Payam,z2eqxz7PLcm,Anyidi PHCC,6.193800,31.564730
Jonglei State,Bor South County,Anyidi Payam,EAdJBe9ejHT,Mareng PHCU,6.202771,31.713870
Jonglei State,Bor South County,Baidit Payam,qxcEdRi9g1s,Makol-Cuei PHCU,6.378693,31.649276
Jonglei State,Bor South County,Baidit Payam,uRa2CIseBt3,Mathiang PHCU,6.495460,31.535320
Jonglei State,Bor South County,Baidit Payam,rYzlr4l5x7F,Tong PHCU,6.400550,31.568700
Jonglei State,Bor South County,Bor Payam,wesFmwsG9OY,Bor State Hospital,6.207802,31.555724
Jonglei State,Bor South County,Bor Payam,zLWdh1E4LWZ,Malou PHCU,6.228800,31.558610
Jonglei State,Bor South County,Jalle Payam,mitMl2MBmQ5,Akuai Deng PHCU,6.563930,31.530100
Jonglei State,Bor South County,Jalle Payam,esj324SvCIa,Jalle PHCC,6.671890,31.484210
Jonglei State,Bor South County,Jalle Payam,psqdrqau2s2,Kolmerak PHCU,6.619470,31.517210
Jonglei State,Bor South County,Kolnyang Payam,VfhRFbcBr9g,Kolnyang PHCC,6.125380,31.580810
Jonglei State,Bor South County,Kolnyang Payam,DLehMA62jkM,Malek PHCU,6.067750,31.605400
Jonglei State,Bor South County,Kolnyang Payam,VxCdwwGXdI8,Pariak PHCC,5.971250,31.660480
Jonglei State,Bor South County,Makuach Payam,W9ZSCwpBL6Q,Gakyuom PHCU,6.235240,31.570960
Jonglei State,Bor South County,Makuach Payam,jEPSk679Mh6,Lualdit PHCU,6.236410,31.610480
Jonglei State,Bor South County,Makuach Payam,BzSRYzMijb6,Palabach PHCU,6.282500,31.566830
Jonglei State,Duk County,Ageer Payam,zy2JXWRgzxb,Patuenoi PHCU,7.305775,31.285206
Jonglei State,Duk County,Ageer Payam,Kytm6e0bufQ,Poktap PHCC,7.455820,31.409120
Jonglei State,Duk County,Dongchak Payam,AR8cfTXbzaO,Amiel PHCU,7.697500,31.278880
Jonglei State,Duk County,Padiet Payam,OoRdti95mUa,Ayueldit PHCU,7.724160,31.330270
Jonglei State,Duk County,Padiet Payam,NHdlDlwaGrW,Dorok PHCU,7.758050,31.299720
Jonglei State,Duk County,Padiet Payam,ljwF7v1WYNv,Koyom Island PHCU,7.262800,30.473000
Jonglei State,Duk County,Panyang Payam,irkSUtUX8iG,Pajut Kurgai PHCC,7.747410,31.687970
Jonglei State,Duk County,Panyang Payam,yBP79xC2upt,Patuet PHCU,7.849040,31.695800
Jonglei State,Duk County,Payuel Payam,wSm8D2FGwtr,Duk Lost Boy Hospital,7.481110,31.516380
Jonglei State,Fangak County,Manajang Payam,FOlQkO84SPy,Juaibor PHCC,9.401320,30.670210
Jonglei State,Fangak County,Manajang Payam,dBSla4R7qXb,Kuemduok PHCU,9.210020,30.944830
Jonglei State,Fangak County,Manajang Payam,NFdLaRvJKIn,Kuernyang PHCC,9.319800,30.885260
Jonglei State,Fangak County,Manajang Payam,rnYfOcBgf40,Mandeng PHCU,9.386750,30.837750
Jonglei State,Fangak County,Mareang Payam,vDprIk9Iu9w,New Fangak Hospital,9.067823,30.881618
Jonglei State,Fangak County,Mareang Payam,AwU5hPjjbg2,Nyadin PHCC,8.798680,30.667790
Jonglei State,Fangak County,Paguer Payam,GkJfHmBujAp,Koat Nyakong PHCU,9.438600,31.053950
Jonglei State,Fangak County,Paguer Payam,aiA6nEV2gIY,Kuerphon PHCU,9.616000,30.686200
Jonglei State,Fangak County,Paguer Payam,mKCGy8C98V6,Paguir PHCU,9.106770,30.758830
Jonglei State,Fangak County,Paguer Payam,VLpL4GtI6hb,Pulita PHCU,9.223262,30.660127
Jonglei State,Fangak County,Phom Payam,Bmkq76MEp4z,Keew PHCC,9.262980,30.634980
Jonglei State,Fangak County,Phom Payam,GgYDV5fCCLz,Pakaan PHCC,9.386060,31.109430
Jonglei State,Nyirol County,Chuil Payam,StlCAld91dJ,Chuil PHCC,8.571660,32.076660
Jonglei State,Nyirol County,Nyambor Payam,NlNy6WkCkvO,Riang PHCU,8.488860,31.833494
Jonglei State,Nyirol County,Pading Payam,e69RcQe5oYU,Pading PHCU,8.433330,31.800000
Jonglei State,Nyirol County,Pading Payam,yr8nLkZF13H,Wenyal PHCU,7.991660,32.416660
Jonglei State,Nyirol County,Thol Payam,zoRWCPvvAql,Bariak PHCU,8.197830,32.150928
Jonglei State,Nyirol County,Thol Payam,GC06O53ff4S,Pokbor PHCU,7.991660,32.527770
Jonglei State,Nyirol County,Thol Payam,l6BLSZtpJQA,Pultruk PHCC,8.594660,31.948660
Jonglei State,Nyirol County,Thol Payam,j4Jr13AaCwB,Tut Majok PHCU,7.850560,31.696660
Jonglei State,Nyirol County,Waat Payam,Y60V7ZLdPZd,Waat PHCC,8.197250,32.150000
Jonglei State,Pigi County,Atar Payam,XcDJI5wUv8X,Diel PHCU,9.374180,31.302780
Jonglei State,Pigi County,Atar Payam,Tu7Uu6UhGFE,Khorfulus PHCC,9.314760,31.579980
Jonglei State,Pigi County,Khorwac Payam,y5UEMRBtdHt,Khorwac PHCC,7.621252,30.370747
Jonglei State,Pigi County,Khorwac Payam,cM1tRbPp9PX,Kolanyang PHCU,9.337310,31.107250
Jonglei State,Pigi County,Khorwac Payam,dkKaUTlbv2f,Patai PHCU,8.072230,31.834960
Jonglei State,Pigi County,Mareng Payam,wLrEFZktgIJ,Canal PHCC,9.215056,31.325860
Jonglei State,Twic East County,Ajuong Payam,wPjb9k2q7ce,Palieu PHCC,6.960010,31.378470
Jonglei State,Twic East County,Kongor Payam,Scmg0SG9fB0,Kongor PHCC,7.156250,31.355350
Jonglei State,Twic East County,Kongor Payam,bVvmI1lu9JF,Panyagor County Hospital,7.166440,31.407630
Jonglei State,Twic East County,Lith Payam,abRBI8F8a3d,Khiir PHCU,7.341670,31.411390
Jonglei State,Twic East County,Nyuak Payam,BR9HrEinhkO,Wangulei PHCU,7.888240,31.375120
Jonglei State,Twic East County,Pakeer Payam,MKe4Dklgfll,Maar PHCC,6.888240,31.375140
Jonglei State,Twic East County,Pakeer Payam,xWJOQfOE2JE,Patiou PHCC,6.775550,31.408060
Jonglei State,Uror County,Motot Payam,hGj7HPGthxf,Pathai PHCU,7.926507,31.907487
Jonglei State,Uror County,Pathai Payam,ldl0I3pGbaH,Modit PHCU,7.989670,31.878360
Jonglei State,Uror County,Pathai Payam,fKcHMpJHmat,Payai PHCU,7.985400,31.959530
Jonglei State,Uror County,Payai Payam,DmuRhK9sGTb,Yuai PHCC,7.905070,31.891120
Jonglei State,Uror County,Puolchuol Payam,GdzmAPt4AIg,Pulchol PHCC,8.112360,31.961650
Lakes State,Awerial County,Abuyung Payam,y13EQSM0aFS,Abuyung PHCU,6.354580,31.127890
