State,County,Payam,HF_Boma_ID,Health Facility,Latitude,Longitude
Abyei Administrative Area,Abyei County,Abyei Payam,dcxxj6WsrYh,Abyei Civil Hospital,9.595000,28.436000
Abyei Administrative Area,Abyei County,Alal Payam,IN0Vq0USxQp,Agany Tok PHCU,9.527560,28.434350
Abyei Administrative Area,Abyei County,Mijak Payam,tfDT2osuSPL,Wunpeth PHCU,9.389950,28.552520
Abyei Administrative Area,Abyei County,Rumamer Payam,bAS6c9LONYj,Wunchuei PHCU,9.397544,28.674119
Central Equatoria State,Juba County,Dolo Payam,JZ7b9o5QLlr,Kuda PHCC,4.851120,31.585310
Central Equatoria State,Juba County,Juba Town Payam,DHKCr3lbyu7,El-Sabah Children Hospital,4.844289,31.606819
Central Equatoria State,Juba County,Juba Town Payam,OV9zi20DDXP,Juba Teaching Hospital,4.850948,31.608209
Central Equatoria State,Juba County,Kator Payam,tlZC0riVvzo,Kator PHCC,4.831080,31.596620
Central Equatoria State,Juba County,Kator Payam,yQGv7u2PPDd,Lologo PHCC,4.817290,31.595640
Central Equatoria State,Juba County,Kator Payam,k10XhHM14iG,Malakia PHCC,4.837630,31.603610
Central Equatoria State,Juba County,Lirya Payam,DOgXGTDa7d4,Lirya PHCC,4.385630,32.046420
Central Equatoria State,Juba County,Lirya Payam,AfJsSuUf82X,Ngangalla PHCU,4.706460,31.919630
Central Equatoria State,Juba County,Lobonok Payam,mCpjOQGtUTO,Lobonok PHCC,4.177060,31.372490
Central Equatoria State,Juba County,Lokiliri Payam,YIMRxUcJyyL,Aru Junction PHCU,4.363540,31.984600
Central Equatoria State,Juba County,Lokiliri Payam,bBF6av2MDIn,Kubi PHCU,4.390240,31.922670
Central Equatoria State,Juba County,Lokiliri Payam,zqcxljcTibn,Lokiliri PHCC,4.573630,31.936910
Central Equatoria State,Juba County,Mangala North Payam,fnBDtQbzVIm,Mangalla PHCC,5.196570,31.768720
Central Equatoria State,Juba County,Mangala South Payam,Tem2pOTBNb1,Mogiri/Jobur PHCC,4.888390,31.855320
Central Equatoria State,Juba County,Munuki Payam,JV2amC6D9tn,Hai Jebel PHCU,4.848152,31.580160
Central Equatoria State,Juba County,Munuki Payam,IhoOoKKhOqQ,Jondoki PHCC,4.9084869,31.5737357
