F__sref,SchType,SchName,Payam,County,State,Lat,Lon
NTL,PRI,Inter-Faith Model Primary School,Juba,Juba,Central Equatoria,4.8410392,31.6022372
RAF,PRI,Rejaf Educational Centre For The Blind P/S,Juba,Juba,Central Equatoria,4.8484867,31.5963941
AMT,PRI,Amarat Primary School,Juba,Juba,Central Equatoria,4.8593117,31.6008483
BPR,PRI,Buluk A1 Primary School,Juba,Juba,Central Equatoria,4.8463467,31.5965233
EBS,PRI,Ephatha Primary School,Juba,Juba,Central Equatoria,4.8546654,31.5829714
GBA,PRI,Gabat Basic School,Juba,Juba,Central Equatoria,4.8563,31.61706
JGI,PRI,Juba One Girl Primary School,Juba,Juba,Central Equatoria,4.846244,31.6084697
SAA,PRI,Salam Model Basic,Juba,Juba,Central Equatoria,4.8549868,31.6112361
JDE,PRI,Jcc Model Primary School,Juba,Juba,Central Equatoria,4.8478417,31.5894067
VHM,PRI,Victorious Heritage Model Primary School,Juba,Juba,Central Equatoria,4.8604,31.5927
WLU,PRI,Usratuna Primary School,Juba,Juba,Central Equatoria,4.8460103,31.6052535
CMS,PRI,Cms (El Nahari) Primary School,Juba,Juba,Central Equatoria,4.843151667,31.61463833
BUD,PRI,Buluk Model Primary School,Juba,Juba,Central Equatoria,4.8472532,31.5928983
BLI,PRI,Bilal Binrabah Primary School,Juba,Juba,Central Equatoria,4.861417,31.588234
JSH,PRI,Jcc Hai Negil Primary School,Juba,Juba,Central Equatoria,4.8551341,31.5985218
BLU,PRI,Buluk Aii Primary School,Juba,Juba,Central Equatoria,4.84743,31.596495
FTB,PRI,Faith Primary School,Juba,Juba,Central Equatoria,4.8644217,31.5856067
DMH,SEC,Dawn Secondary School,Juba,Juba,Central Equatoria,4.8338283,31.6106383
JCJ,SEC,Jcc Model Secondary School,Juba,Juba,Central Equatoria,4.8478483,31.588845
FAE,SEC,Faith Secondary School,Juba,Juba,Central Equatoria,4.864765,31.58573
RSS,SEC,Rajaf Secondary School,Juba,Juba,Central Equatoria,4.8445517,31.6020867
SPC,SEC,Supiri Secondary School,Juba,Juba,Central Equatoria,4.84945,31.6043117
NLO,SEC,Nile Model Secondary School,Juba,Juba,Central Equatoria,4.84658,31.604365
JBD,SEC,Juba Girls T.T.U Secondary School,Juba,Juba,Central Equatoria,5.448667,31.750717
PHI,SEC,Prestige High Secondary School,Juba,Juba,Central Equatoria,4.8349217,31.611165
JMS,SEC,Juba Diocesan Model Secondary School,Juba,Juba,Central Equatoria,4.8428579,31.6140962
SSK,SEC,Sadaka Secondary School,Juba,Juba,Central Equatoria,4.8422727,31.5933088
ESE,SEC,El Salaam Secondary School,Juba,Juba,Central Equatoria,4.8476367,31.593695
JCM,SEC,Juba Commercial Secondary School,Juba,Juba,Central Equatoria,4.8468533,31.601975
