F__sref,SchType,SchName,Payam,County,State,Lat,Lon
BFN,ECD,Bright Future Nursery School,Munuki,Juba,Central Equatoria,4.8702811,31.5656245
NIN,ECD,Future Leaders Academy Nursery School,Munuki,Juba,Central Equatoria,4.8608667,31.5437983
RDT,ECD,Redeemer Academy Nursery School,Munuki,Juba,Central Equatoria,4.8892058,31.5536234
SKZ,ECD,St. Kizito Nursery School,Munuki,Juba,Central Equatoria,4.8597329,31.5713088
DAQ,ECD,Darling Wisdom Academy Nursery School,Munuki,Juba,Central Equatoria,4.8507669,31.57085
ACF,ECD,Aic Modern Nursery School,Munuki,Juba,Central Equatoria,4.8522959,31.5675467
RCI,ECD,Rock City Nursery School,Munuki,Juba,Central Equatoria,4.8515533,31.55825
FSL,ECD,Mer-Kolong Nursery School,Munuki,Juba,Central Equatoria,4.8535167,31.571005
BHF,ECD,Bright Hope Academy Nursery School,Munuki,Juba,Central Equatoria,4.8632133,31.5479367
WST,ECD,St Philip'S Pre School,Munuki,Juba,Central Equatoria,4.8463022,31.5765592
SVW,ECD,St. Mark'S Orthodox Nursery School,Munuki,Juba,Central Equatoria,4.8756067,31.5745233
JCH,ECD,Juba Christain Center Muniki Nursery,Munuki,Juba,Central Equatoria,4.8619067,31.5703717
LGV,ECD,Light House Inter Nursery School,Munuki,Juba,Central Equatoria,4.8486986,31.5600788
OSH,PRI,St. Kizito Primary School,Munuki,Juba,Central Equatoria,4.871535,31.57444333
LHI,PRI,Light Houses International Primary,Munuki,Juba,Central Equatoria,4.8493004,31.5601047
VPA,PRI,Vip Academy Primary School,Munuki,Juba,Central Equatoria,4.864656667,31.56324833
SGA,PRI,Super Garden Primary School,Munuki,Juba,Central Equatoria,4.8478133,31.5551183
UCC,PRI,Success Child Care Primary School,Munuki,Juba,Central Equatoria,4.8503704,31.5563008
BVB,PRI,Bira Primary School,Munuki,Juba,Central Equatoria,4.8392324,31.5576527
DCR,PRI,Mary Primary School,Munuki,Juba,Central Equatoria,4.83939,31.5590253
BGJ,PRI,Big Ben Primary School,Munuki,Juba,Central Equatoria,4.878195,31.55116667
NJM,PRI,Nyakuron Central Academy Nur And Pri School,Munuki,Juba,Central Equatoria,4.8407724,31.5760639
STH,PRI,South Powers Nursery And Primary School,Munuki,Juba,Central Equatoria,4.889825,31.5560417
TRN,PRI,Train Up A Child Kindergarten And Pri School,Munuki,Juba,Central Equatoria,4.8091133,31.5197883
DCJ,PRI,Dreamland International Academy Primary,Munuki,Juba,Central Equatoria,4.8413917,31.563885
GFU,PRI,Golden Future Primary School,Munuki,Juba,Central Equatoria,4.8773484,31.5476648
SJR,PRI,St Juluth Primary School,Munuki,Juba,Central Equatoria,4.864325,31.5484283
LVB,PRI,Love And Peace Nursery And Primary School,Munuki,Juba,Central Equatoria,4.8795088,31.5793577
RCN,PRI,Rockcity Nursery And Primary School,Munuki,Juba,Central Equatoria,4.8516767,31.5580517
HDI,PRI,Homing Dove International Primary School,Munuki,Juba,Central Equatoria,4.85589,31.5744567
COD,PRI,Aic Modern Nursery And Primary School,Munuki,Juba,Central Equatoria,4.8526015,31.5672513
PTV,PRI,Pita Nursery And Primary School,Munuki,Juba,Central Equatoria,4.8741571,31.5628321
SKC,PRI,St. Mark'S Orthodox Primary School,Munuki,Juba,Central Equatoria,4.8755383,31.5739767
GNN,PRI,Ginana Primary School,Munuki,Juba,Central Equatoria,4.8416967,31.57806
SLF,PRI,Star Light Primary School,Munuki,Juba,Central Equatoria,4.8685852,31.5444526
FFE,PRI,Ffeda Primary School,Munuki,Juba,Central Equatoria,4.8684617,31.57226
BHA,PRI,Bright Hope Academy Primary,Munuki,Juba,Central Equatoria,4.8632817,31.5476933
DBR,PRI,Dmi St Bakhita Primary School,Munuki,Juba,Central Equatoria,4.845075,31.56985
AWB,PRI,Atlabara West Basic School,Munuki,Juba,Central Equatoria,4.8390033,31.5878883
TJU,PRI,Taqwa Junior Academy Primary School,Munuki,Juba,Central Equatoria,4.8786667,31.5638817
NAC,PRI,New Appostolic Church School,Munuki,Juba,Central Equatoria,4.8703329,31.5779583
GDG,PRI,Gudele East 11 Basic School,Munuki,Juba,Central Equatoria,4.8737417,31.5499533
TSE,PRI,St Elizabeth Of Hungary Primary School,Munuki,Juba,Central Equatoria,4.8398967,31.5653867
MPS,PRI,Merciful Nursery Primary School,Munuki,Juba,Central Equatoria,4.8648733,31.567695
JUD,PRI,Juba Modern Primary School,Munuki,Juba,Central Equatoria,4.8821517,31.567455
CYS,PRI,City Star Primary School,Munuki,Juba,Central Equatoria,4.858575,31.554445
RDM,PRI,Rajaf Diocese Model Primary School,Munuki,Juba,Central Equatoria,4.841945,31.5664383
HLF,PRI,Holy Family Primary School,Munuki,Juba,Central Equatoria,4.865853333,31.56709667
TXP,PRI,Train Up A Child Primary School - Munuki,Munuki,Juba,Central Equatoria,4.8701267,31.581495
BYL,PRI,Libya 1 Primary School,Munuki,Juba,Central Equatoria,4.87073,31.5671267
GDF,PRI,Gudele East 1 Basic School,Munuki,Juba,Central Equatoria,4.8741217,31.5505633
