date,kyoga_height_variation
2002-07-01,0.9339049846527084
2002-07-11,1.0045181448955574
2002-07-21,0.8089740088384372
2002-08-01,0.9121778584241395
2002-08-11,0.8144057903955793
2002-08-21,0.7166337223670193
2002-09-01,0.6188616543384591
2002-09-11,0.6949065961384504
2002-09-21,0.7329290670384458
2002-10-01,0.7709515379384414
2002-10-11,0.8089740088384372
2002-10-21,0.8469964797384326
2002-11-01,0.8252693535098637
2002-11-11,0.7818151010527259
2002-11-21,0.7790992102741549
2002-12-01,0.7763833194955835
2002-12-11,0.7736674287170124
2002-12-21,0.7709515379384414
2003-01-01,0.9990863633384152
2003-01-11,0.8035422272812948
2003-01-21,0.7981104457241525
2003-02-01,0.7926786641670103
2003-02-11,0.901314295309855
2003-02-21,0.8777765752289053
2003-03-01,0.8542388551479558
2003-03-11,0.830701135067006
2003-03-21,0.8071634149860564
2003-04-01,0.7836256949051069
2003-04-11,0.7600879748241571
2003-04-21,0.8035422272812948
2003-05-01,0.7600879748241571
2003-05-11,0.7166337223670193
2003-05-21,0.7709515379384414
2003-06-01,0.6949065961384504
2003-06-11,0.8144057903955793
2003-06-21,0.7926786641670103
2003-07-01,0.9339049846527084
2003-07-11,0.923041421538424
2003-07-21,0.8144057903955793
2003-08-01,0.6514523436813124
2003-08-11,0.8144057903955793
2003-08-21,0.7274972854813038
2003-09-01,0.901314295309855
2003-09-11,0.8687236059670016
2003-09-21,0.8361329166241482
2003-10-01,0.8035422272812948
2003-10-11,0.7709515379384414
2003-10-21,0.9773592371098463
2003-11-01,0.7709515379384414
2003-11-11,0.8469964797384326
2003-11-21,0.8759659813765245
2003-12-01,0.9049354830146166
2003-12-11,0.9339049846527084
2003-12-21,0.923041421538424
2004-01-01,0.8578600428527171
2004-01-11,0.8144057903955793
2004-01-21,0.7709515379384414
2004-02-01,0.7274972854813038
2004-02-11,0.7383608485955883
2004-02-21,0.7166337223670193
2004-03-01,0.4341810813956232
2004-03-11,0.5536802756527522
2004-03-21,0.5971345281098902
2004-04-01,0.7057701592527348
2004-04-11,0.7709515379384414
2004-04-21,0.7383608485955883
2004-05-01,0.7655197563812993
2004-05-11,0.7926786641670103
2004-05-21,0.8144057903955793
2004-06-01,0.8361329166241482
2004-06-11,0.8578600428527171
2004-06-21,0.7818151010527259
2004-07-01,0.774572725643203
2004-07-11,0.76733035023368
2004-07-21,0.7600879748241571
2004-08-01,0.8252693535098637
2004-08-11,0.8469964797384326
2004-08-21,0.8687236059670016
2004-09-01,0.8904507321955706
2004-09-11,0.7166337223670193
2004-09-21,1.0859948682526908
2004-10-01,0.9447685477669928
2004-10-11,0.9447685477669928
2004-10-21,0.9447685477669928
2004-11-01,0.9447685477669928
2004-11-11,0.9773592371098463
2004-11-21,0.8144057903955793
2004-12-01,0.901314295309855
2004-12-11,0.8660077151884306
2004-12-21,0.830701135067006
