date,percent_inundation,percent_inundation_ssd,percent_inundation_ceq,percent_inundation_eeq,percent_inundation_jon,percent_inundation_lak,percent_inundation_nbg,percent_inundation_uni,percent_inundation_upn,percent_inundation_war,percent_inundation_wbg,percent_inundation_weq,percent_inundation_aby
2002-07-01,0.372964995414073,0.2923176073285288,1.081754118931698,-0.3396896407076045,-0.2387300120773763,0.9163452272765038,0.2421963427562916,-0.6413158154445384,0.8146115241966683,1.4327230377013227,4.439686126552969,1.8310775891609568,2.9726470416588686
2002-07-11,-0.2613074136463836,-0.3449250858685078,0.0528345487832319,-0.3396896407076045,-0.6325100069215722,-0.2083769012147719,0.0138500322652444,-0.7895503282052121,0.2307497998506817,0.2963204077009405,2.451939066136545,0.8925067689397124,1.4678808642081975
2002-07-21,-0.7841554193637764,-0.8597217675529716,-0.3813432953080794,-0.3396896407076045,-0.9670681494815078,-0.7813061262039304,-0.1641026097036406,-0.9164274874789996,-0.3910985490383026,-0.5961044687938246,0.2795379072114924,-0.0967976091313291,0.5062302931304198
2002-08-01,-0.9880383701617234,-1.0411661931622895,-0.5943361999566472,-0.3396896407076045,-1.0989576317370162,-0.9324083393878844,-0.279063166019823,-0.9785086082078288,-0.6476908927061509,-0.7889993801592031,-0.2554158781738018,-0.4265657351550096,0.1772814078272498
2002-08-11,-1.0609553125318196,-1.0940703477547449,-0.759815302798996,-0.3396896407076045,-1.1553090370993355,-0.96478738507016,-0.3389056473898906,-0.9871963452194435,-0.7240293977973684,-0.7581209457311485,-0.3341654201848349,-0.4265657351550096,0.0037083789864282
2002-08-21,-1.0803953148172054,-1.103679088200159,-0.86631175512328,-0.3396896407076045,-1.1828048970884564,-0.948597862229022,-0.2822127703024582,-0.9747077232652476,-0.7295082378756854,-0.7089441797901725,-0.3531739303254291,-0.4265657351550096,-0.1334703050974469
2002-09-01,-1.060582768934016,-1.0801619763707213,-0.9564241378592124,-0.3396896407076045,-1.1755532417067105,-0.8716976287336171,-0.1892994439647217,-0.9546173314258888,-0.7141674856563976,-0.628888979421142,-0.3531739303254291,-0.4265657351550096,-0.204859212120688
2002-09-11,-1.0625470897224347,-1.0775448097124374,-0.9777234283240692,-0.3396896407076045,-1.1860530343948636,-0.8636028673130481,-0.1420553797251947,-0.971449821885892,-0.6942610333718457,-0.5648448191259174,-0.3504584288767728,-0.4265657351550096,-0.2370542094056791
2002-09-21,-1.0775165688341777,-1.0886490739625851,-0.9777234283240692,-0.3396896407076045,-1.1924737709307849,-0.9166685255145558,-0.1688270161275934,-1.0076487261009528,-0.6745372090899044,-0.5560768686093093,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-10-01,-1.1070491158600595,-1.1164658167306325,-0.9629777656945532,-0.3396896407076045,-1.2065993913098108,-0.989071669331867,-0.2396931124868839,-1.072263770124836,-0.6714325330455247,-0.5671321105650327,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-10-11,-1.1104697434398925,-1.1185221619621413,-0.949870510023872,-0.3396896407076045,-1.1979880505439873,-0.990420796235295,-0.3184332195527622,-1.103756816791939,-0.6730761850690199,-0.5461652723731436,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-10-21,-1.0739604708551438,-1.0784421239952775,-0.8859726386293016,-0.3396896407076045,-1.1382374317214747,-0.8950824950597052,-0.3814253052054649,-1.0932591345695712,-0.677641885134284,-0.5099498245871535,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-11-01,-1.0224817191586524,-1.0214252789398046,-0.7516232680048204,-0.3396896407076045,-1.0500844959871227,-0.7709628199443145,-0.4491417972821203,-1.0633950385921462,-0.703027177497153,-0.4847896187568867,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-11-11,-0.9675146046827272,-0.9595853696140656,-0.6697029200630635,-0.3396896407076045,-0.9601186464073344,-0.6324524578590234,-0.4475669951408028,-1.0157934795493415,-0.7247599098078107,-0.4706846548823433,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-11-21,-0.9297860985051672,-0.9169629411791546,-0.6893638035690852,-0.3396896407076045,-0.8881308591281248,-0.5537533884923809,-0.431818973727627,-0.9611331341845996,-0.7612855103299243,-0.4809774663583615,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
2002-12-01,-0.8871806579563603,-0.869592224664214,-0.7680073375931717,-0.3396896407076045,-0.8190890568477498,-0.4844982074497352,-0.4412677865755325,-0.8856584188961983,-0.773704214507443,-0.4958448607126101,-0.3586049332227418,-0.4265657351550096,-0.2384539918963309
