date,cumulative_rainfall,cumulative_rainfall_ssd,cumulative_rainfall_ceq,cumulative_rainfall_eeq,cumulative_rainfall_jon,cumulative_rainfall_lak,cumulative_rainfall_nbg,cumulative_rainfall_uni,cumulative_rainfall_upn,cumulative_rainfall_war,cumulative_rainfall_wbg,cumulative_rainfall_weq,cumulative_rainfall_aby
2002-07-01,-1.503837821,-0.288288494,-1.505278854,2.292016942,2.101008114,0.4615577837,1.50078377,1.766035556,1.717313048,1.708053553,-1.886761359,-1.676109338,1.663827751
2002-07-11,-1.431191768,-0.1438862631,-1.49855227,2.284115708,2.15248416,0.5844405625,1.532658049,1.787880385,1.735447044,1.760756489,-1.850453317,-1.660785845,1.669780439
2002-07-21,-1.33256737,0.05147193986,-1.479962853,2.292610887,2.196421687,0.7234405362,1.60801994,1.81192327,1.755611736,1.837982109,-1.795636147,-1.641954638,1.684474854
2002-08-01,-1.271922318,0.1897613832,-1.461293226,2.326715121,2.251540791,0.7750736322,1.636207951,1.835435319,1.768030928,1.856294188,-1.764069455,-1.631018906,1.696291515
2002-08-11,-1.192715455,0.3444561981,-1.449382192,2.307840301,2.289875835,0.966100521,1.686996916,1.865623708,1.779731472,1.917323407,-1.723155779,-1.611664236,1.712525355
2002-08-21,-1.104119784,0.5406860847,-1.441180566,2.312360131,2.35491438,1.142845199,1.742938244,1.928186641,1.797357429,2.01820828,-1.684323014,-1.59345283,1.74233051
2002-09-01,-1.053113459,0.6122915838,-1.429291729,2.305831973,2.368671861,1.166708848,1.786492838,1.936957044,1.797253206,2.044127866,-1.65763684,-1.584846434,1.758370624
2002-09-11,-1.015661783,0.6400359664,-1.436979881,2.303975265,2.381964621,1.127318912,1.8105545,1.952977503,1.800823504,2.037471423,-1.642602143,-1.585308397,1.773155601
2002-09-21,-0.9610400342,0.7271261357,-1.419574717,2.29506988,2.396664011,1.145188852,1.837611538,1.959861296,1.800734705,2.055676845,-1.608379598,-1.570045824,1.779138761
2002-10-01,-0.9088641263,0.8242381718,-1.390840764,2.313483539,2.432751568,1.171372442,1.844684544,1.964870464,1.806627822,2.053204043,-1.59386961,-1.554353767,1.788426829
